Investigator,Story / pass & fail conditions,Reward,Consequence
Silas Marsh,"The Call
PASS: When you spend a Resource, place that Resource here; then pass if 5+ Resources are here.
FAIL: You have only 1 Sanity.","Smooth Sailing
Once per round, you may spend 1 fewer Resource to pay for an effect.
When you spend a Resource as part of a Rest action, recover 1 Sanity or gain 1 Focus.","Dark Depths
If you would be defeated, you are devoured instead.
Reckoning: Lose 1 Sanity."
Trish Scarborough,"Cracking the Code
PASS: A Mystery is solved.
FAIL: Doom advances to 6 or lower.","Breaking the Limits
Gain +X to all skills where X is the number of Focus you have.
Once per round, when you spend 1 Focus, you may gain 1 Focus.","Shadows
Roll 1 fewer die when resolving an Influence or Observation test.
You cannot reroll each die more than once."
Agnes Baker,"In a Past Life
PASS: When you defeat a non-Epic Monster during a Combat Encounter, place it here; then pass if the total toughness here is 10 or greater.
FAIL: When you have only 1 Health.","Blood Awakened
Each 6 you roll when resolving a Spell effect counts as 2 successes.
Once per round, you may reroll any number of dice when resolving a Lore test as part of a Spell effect.","History Repeats
Increase the damage and horror of Monsters you encounter by 1.
After resolving a Spell effect, discard that Spell unless you used your passive ability."
Daisy Walker,"Unknown Secrets
PASS: After performing a Rest action, you may spend 5 Clues to pass.
FAIL: When you have only 1 Health or 1 Sanity.","The Missing Book
When you gain this card, gain 2 Tome Artifacts. Then discard 1 of them.
If you would spend Sanity as part of a Tome possession effect, you may spend 1 fewer Sanity as part of that effect.","Anterograde Amnesia
When you do not have an Amnesia Condition, discard 1 Clue or 1 Spell and gain an Amnesia Condition."
Finn Edwards,"Don't Get Caught
PASS: When you flip a Courier Run Unique Asset, place 1 random Clue face up here; pass after resolving a location encounter on that space.
FAIL: When you gain a Detained or Wanted Condition.","Notorious Smuggler
After resolving your action ability, you and/or the other investigator may perform an additional Trade or Travel action.","Known Criminal
You cannot perform the Acquire Assets action or the Prepare for Travel action."
George Barnaby,"My Sweet Maria
PASS: When a Cultist Monster is defeated or discarded, place 1 Eldritch token here; then pass if there are 3 here.
FAIL: When you have only 1 Health.","Justice
When you gain this card, recover 2 Health and advance the active Mystery by 1.
Your maximum Health is increased by 2.","Lost and Alone
When you gain this card, discard all of your Ally Assets.
You cannot gain Ally Assets.
Your maximum Sanity is reduced by 2."
Patrice Hathaway,"Cadenza
PASS: After you perform your action ability, if you have 3 or more Improvement tokens.
FAIL: At the end of the Encounter Phase, if Clues on the game board are at least the number of investigators + 6.","Inspiring Virtuoso
Once per round, when a Gate spawns, gain 1 Clue.
You may allow another investigator on any space to spend your Clues.","Chant du Cygne
When you gain this card, spawn 1 Gate.
You roll a maximum of 3 dice when resolving tests."
Tommy Muldoon,"We Need a Hero!
PASS: When you defeat a non-Epic Monster during a Combat Encounter, place it here; then pass if the total toughness here is 10 or greater.
FAIL: When another investigator is Defeated or Devoured.","Valiant Protector
When you gain this card, improve Strength and Will.
Once per round, you may reroll any number of dice when resolving a test during a Combat Encounter.","Not Good Enough
When you gain this card, discard 2 Improvement tokens.
Your maximum Health and Sanity are reduced by 1."
Ursula Downs,"Next Big Discovery
PASS: Action — if you are on a named City space, you may discard 1 Artifact to pass.
FAIL: When Doom advances to 6 or lower.","Renowned
When you gain this card, gain the Jake Williams Unique Asset.
Once per round, during the Action Phase, you may gain 1 Focus or 1 Resource.","Pandora's Box
When you gain this card, advance Doom by 1.
Reckoning: Spawn 1 Monster on the space that contains a Gate with the fewest Monsters."
Wilson Richards,"Heckuva Job
PASS: When a Rumor is solved during the Encounter Phase.
FAIL: When a Rumor is solved during the Mythos Phase.","Jack of All Trades
When you perform a Focus action, gain 1 Resource.
Once per round, when you spend a Focus, gain 1 Focus.","Too Little, Too Late
Your maximum Health is reduced by 2.
You cannot reroll each die more than once."
Marie Lambeau,"Grand-mere's Warning
PASS: When you have a Glamour Spell, an Incantation Spell, and a Ritual Spell.
FAIL: When Doom advances to 6 or lower.","Smokey Velvet
When you gain this card, retreat Doom by 1.
Once per round, after you perform an action, you may allow another investigator on any space to perform that action.","Evil of Old
When you gain this card, draw 3 yellow Mythos cards from the game box and resolve the text effect of each. Then discard those cards."
"""Skids"" O'Toole","Leave it to Chance
Reckoning: Roll 2 dice.
PASS: On a sum of 7 or 11.
FAIL: On a sum of 2, 3, or 12.","Lucky Seven
Whenever you roll a 2 during a test, you may reroll that die.","Snake Eyes
You cannot reroll each die more than once."
Tony Morgan,"Thrill of the Hunt
PASS: When you defeat a non-Epic Monster during a Combat Encounter, place it here; then pass if there are 5 or more Monsters here.
FAIL: When you have only 1 Health or 1 Sanity.","Trophy Hunter
Action: You may spend any number of Focus to gain an equal number of Clues.
When you defeat a Monster during a Combat Encounter, gain 1 Resource.","Blacklisted
When you gain this card, gain an Agreement Condition.
You cannot spend Focus or Resources as part of an Acquire Assets Action."
Zoey Samaras,"In His Name
PASS: When you flip a Task Unique Asset, place 1 Eldritch token here; then pass if there are 3 or more here.
FAIL: At the end of the Encounter Phase, if there are 5 or more Gates on the game board.","Crusade
When you gain this card, gain 2 Task Unique Assets. Then discard 1 Task Asset.
When you defeat a Monster during a Combat Encounter, you may place 1 token of any type on a Task Unique Asset.","Gone Astray
When you gain this card, gain 1 Bane Condition.
If an effect of a Task Unique Asset allows you to ""flip this card,"" you must flip this card."
Hank Samson,"Where's Pa?
PASS: Whenever you gain a Clue during a Research Encounter, place 1 Eldritch token here; then pass at 3 tokens.
FAIL: When you have 3 or less Health.","I Found Pa!
When you gain this card, improve Lore and Influence.
Reduce the damage of Monsters you encounter to 1.","Congenital Analgesia
When you lose Health, gain that many Injury Conditions.
Subtract 1 from the result of each die you roll as part of an Injury Condition effect."
Harvey Walters,"Higher Education
PASS: When you improve a skill or let another investigator improve a skill using your action ability, track 1 Eldritch token; at 5 tokens.
FAIL: End of Encounter Phase, if 5+ Gates are on the board.","Eureka!
When you gain this card, improve 2 skills of your choice.
Once per round, when you spend a Clue, gain 1 Clue.","Worse than I Feared
When you gain this card, impair 2 skills of your choice.
If you would lose Sanity, lose that amount plus 1 instead."
Joe Diamond,"Finish the Job
PASS: A Mystery is solved.
FAIL: End of Encounter Phase, if Clues on the board ≥ number of investigators + 6.","Hardboiled
When you gain this card, improve 2 skills of your choice.
If you spend a Clue to reroll a die, you may reroll up to 2 dice instead.","Cold Case
When you gain this card, impair your 2 highest skills.
Your maximum Health is reduced by 2."
Mandy Thompson,"Connect the Dots
PASS: A Mystery is solved.
FAIL: When you have only 1 Health or 1 Sanity.","The Answer Is Clear
When you gain this card, spawn 3 Clues.
Treat the number of investigators as 1 lower when determining its value on Mystery, Adventure, and Mythos cards.","Inevitability
When you gain this card, advance Doom by 1.
Roll 1 fewer die when resolving a test during a Research Encounter or an effect of a Mystery or Rumor Mythos card."
Minh Thi Phan,"Alone and Afraid
PASS: A Mystery is solved.
FAIL: End of Action Phase, if no other investigator is on your space and you have no Ally Asset, add 1 Eldritch token; fail at 3 tokens.","Loyalty
When you gain this card, gain 1 Character Unique Asset.
You cannot discard your Ally Assets unless you choose to.","Falling Apart
When you gain this card, impair Influence and Will.
Your maximum Health and Sanity are reduced by 1."
Monterey Jack,"Searching Ages Past
PASS: After each Expedition Encounter, add 1 Eldritch token; at 3 tokens.
FAIL: End of Encounter Phase, if Clues on the board ≥ number of investigators + 6.","Nothing Stays Hidden
When you gain this card, gain 1 Artifact.
After resolving an Expedition Encounter or a Mystic Ruins Encounter, gain 1 Clue and Spawn 1 Clue.","Dug Too Deep
When you gain this card, impair Observation and 1 other skill of your choice.
Your maximum Health and Sanity are reduced by 1."
Rex Murphy,"Dispelling the Curse
PASS: When you gain a Cursed Condition, you may spend 5 Clues.
FAIL: If you would flip a Cursed Condition, gain the Consequence instead of flipping.","Curse Lifted
You lose your passive ability.
When you gain this card, discard a Cursed Condition.
Reckoning: Gain 1 Clue and improve 1 skill of your choice.","Downward Spiral
Reckoning: Flip your Cursed Condition."
Sister Mary,"He is My Shepherd
PASS: A Mystery is solved.
FAIL: If you would gain a Bane Condition, gain the Consequence instead of the Bane.","Fear No Evil
When you gain this card, improve Influence and Will
You cannot discard a Boon Condition nor can you gain a Bane Condition unless you choose to.","Faith Shaken
When you gain this card, impair Will twice.
If you would lose Sanity, lose that amount plus 1 instead."
Dexter Drake,"The Great Drake
PASS: Track each Lore test passed as part of a Spell effect (1 Eldritch token); at 6 tokens.
FAIL: End of Encounter Phase, if 5+ Gates are on the board.","Sorcerer Supreme
When you gain this card, gain 2 Ritual Spells.
Once per round, when you perform the action of a Ritual Spell, you may perform 1 additional action on another Ritual Spell you have.","Delve Too Deep
After flipping a Spell and resolving the effects on its back, lose 2 Sanity unless you discard that Spell."
Jenny Barnes,"Search for Isabelle
ON GAIN: Place 3 random Clues faceup. After an encounter on one of their spaces, discard that Clue.
PASS: No Clues remain on this card.
FAIL: Doom advances to 6 or lower.","Isabelle
When you gain this card, improve Observation and Will.
When another investigator accepts a Bank Loan as part of an Acquire Assets Action, that investigator adds 1 additional success to the test result.","Too Late
When you gain this card, impair Influence and Will.
Your maximum Health and Sanity are reduced by 1."
Michael McGlen,"Oath of Vengeance
PASS: Keep non-Epic Monsters you defeat during Combat Encounters on this card; when their total toughness is 10+.
FAIL: End of Action Phase, if you have 2+ Deal and/or Pursuit Conditions.","For Louie
When you gain this card, recover 2 Sanity and improve Strength and Will.
Your maximum Sanity is increased by 2.","On the Run
When you gain this card, impair your Influence twice.
You must perform the Travel action each round if able."
Wendy Adams,"Memento
PASS: After a Research Encounter, you may spend 3 Clues to place 1 random Clue faceup here; then resolve a location encounter on that space.
FAIL: Gain a Bane, Illness, Injury, or Madness Condition.","Reunited
Mythos card text effects cannot cause you to lose Health or Sanity.","Downtrodden
When you fail a test, lose 1 Sanity.
You cannot be the Lead Investigator unless there is no other option."
Amanda Sharpe,"Dreaming of R'lyeh
PASS: Whenever you gain a Clue during a Research Encounter, place 1 Eldritch token here; then pass at 3 tokens.
FAIL: End of Encounter Phase, 5+ Gates on the board.","Honor Student
When you gain this card, improve Lore and Observation.
You may spend 1 Improvement token to reroll any number of dice when resolving a test.","Deep Destiny
Whenever you fail a test, discard 1 Talent Condition.
Whenever you move along a Ship path, lose 1 Sanity."
Carolyn Fern,"Final Analysis
PASS: Once per round, when another investigator on your space Rests, spawn 1 Clue; then pass if Clues held by investigators and/or on the board total at least 2 × the number of investigators.
FAIL: Another investigator is defeated with zero Sanity.","Missing Link
When you gain this card, improve Lore and Will.
Once per round, when another investigator on your space performs a Rest action, gain 1 Clue.","Growing Unrest
Your maximum Sanity is reduced by 2.
You can recover Health or Sanity as part of a Rest action, but not both."
Darrell Simmons,"A Thousand Words
PASS: Whenever you gain a Clue during a Research Encounter, place 1 Eldritch token here; then pass at 3 tokens.
FAIL: Doom advances to 6 or lower.","Photographic Proof
When you gain this card, gain 3 Clues.
As part of an Acquire Assets Action, you may spend 1 Clue to add 2 successes to your test result.","The Film is Ruined
When you gain this card, discard 1 Camera Asset.
You cannot accept a Bank Loan as part of an Acquire Assets action."
Gloria Goldberg,"Based on a True Story
PASS: A Mystery is solved.
FAIL: End of Encounter Phase, 5+ Gates on the board.","Inspiration
After you perform an action of a Tome possession, you may recover 1 Sanity, gain 1 Focus, or spend 1 Sanity or 1 Focus to gain 1 Clue.","Captivated
You must perform the action of a Tome possession each round if able."
Kate Winthrop,"Resonance
PASS: When any Gate is closed or discarded, place that Gate here; then pass at 5+ Gates.
FAIL: Another investigator is defeated or devoured.","I Understand!
When you gain this card, gain 3 Clues.
If a Gate would spawn that corresponds to the current Omen, you may spend 2 Clues to discard that Gate instead.","Not Again
When you gain this card, discard a total of 3 Clues and/or Improvement tokens.
Your maximum Sanity is reduced by 2."
Luke Robinson,"Shadow of Doubt
PASS: A Mystery is solved.
FAIL: End of Encounter Phase, 5+ Gates on the board.","Dreamer
When you gain this card, gain 1 Walking the Ley Lines Unique Asset.
When you close a Gate during an Other World Encounter, gain 1 Clue and 1 Focus.","Insomnia
Your maximum Sanity is reduced by 2.
You can recover Health or Sanity as a part of a Rest action, but not both."
Vincent Lee,"The Doctor is In
PASS: A Mystery is solved.
FAIL: Another investigator is defeated with zero Health.","Do No Harm
When you gain this card, gain a Composed Condition and a Practiced Condition.
When you gain a Resource, gain 1 additional Resource.","Mortal Wounds
When you gain this card, discard 1 Talent Condition.
Your maximum Health is reduced by 2."
William Yorick,"To Be Or Not To Be
PASS: A Mystery is solved.
FAIL: You have only 1 Health or 1 Sanity.","Commitment
When you gain this card, improve Observation and 1 other skill of your choice.
When you defeat a Monster during a Combat Encounter, gain 1 Resource.","Alas, Poor Yorick
Your maximum Health is reduced by 2.
Roll 1 fewer die when resolving a Will test."
"""Ashcan"" Pete","Powerful Nightmares
ON GAIN: Place 3 random Clues faceup here.
PASS: After you resolve an encounter on a listed space, discard its Clue; then pass when none remain.
FAIL: You do not have the Duke Unique Asset.","Sweet Dreams
Once per round, you may reroll all of your dice when resolving a test.
You cannot discard the Duke Unique Asset unless you choose to.","Barely Holding On
After resolving setup during a campaign, discard the Duke Unique Asset.
If you would lose Sanity, lose that amount plus 1 instead."
Bob Jenkins,"Doing Business
PASS: Once per round, when you gain an Asset with printed value ≥ the Eldritch token count here, place 1 Eldritch token here; then pass at 5 tokens.
FAIL: End of Action Phase, you have 2+ Deal Conditions.","Jackpot!
When you gain this card, gain a Silver Tongued Condition.
You may spend 2 successes to gain 1 Clue as part of an Acquire Assets action.","Greed
You must accept a Bank Loan as part of an Acquire Assets action if able.
Subtract 1 from the result of each die you roll as part of a Deal Condition effect."
Rita Young,"Through Prejudice
PASS: When you defeat a non-Epic Monster during a Combat Encounter, place it here; then pass when Monsters here total 10+ toughness.
FAIL: You have only 1 Health or 1 Sanity.","The Comeback
When you gain this card, improve Observation and Will.
Once per round, when you gain a Talent Condition, improve 1 skill of your choice.","Leave Me Alone!
Increase the damage and horror of Monsters you encounter by 1."
Roland Banks,"The Truth is Out There
PASS: Whenever you gain a Clue during a Research Encounter, place 1 Eldritch token here; then pass at 3 tokens.
FAIL: You have only 1 Health or 1 Sanity.","By The Book
When you gain this card, set aside 2 random Service Assets from the deck.
You may use your passive ability up to twice per round.","Early Retirement
When this card enters play, advance Doom by 1.
Subtract 1 from the result of each die you roll as part of a non-Deal Condition effect."
Agatha Crane,"The Scientific Method
PASS: After gaining a Clue from your passive ability, you may spend 5 Clues.
FAIL: When you have only 1 Sanity.","Rational Explanation
When you gain this card, improve Lore and Observation.
You may spend 1 Clue when resolving a test to reroll any number of dice.","Superstition
If you would lose Sanity, lose that amount plus 1 instead.
Whenever you lose Sanity, discard that many Clues."
Calvin Wright,"A Friend Indeed
PASS: After one use of your action ability gives another investigator a total of 6+ Health and/or Sanity.
FAIL: When another investigator is defeated or devoured.","Calvin's Will
When you gain this card, recover 1 Health and 1 Sanity and improve Will twice.
Your maximum Health and Sanity are increased by 1.","Calvin's Demons
You cannot recover Health or Sanity as part of a Rest action.
When you are defeated or devoured, advance Doom by an additional 2."
Carson Sinclair,"Seeking Answers
PASS: Whenever you gain a Clue during a Research Encounter, place 1 Eldritch token here; then pass if there are 3 tokens.
FAIL: When another investigator is defeated or devoured.","Loyal Friend
When you gain this card, improve 2 skills of your choice.
Other investigators on your space roll 1 additional die when resolving a test.","Failed Again
Your maximum Health and Sanity are reduced by 1.
You roll a maximum of 3 dice when resolving tests."
Daniela Reyes,"The Shape of Things
PASS: When you spend a Resource, place 1 Resource here; then pass if there are 8 Resources.
FAIL: At end of Encounter Phase, 10+ Monsters on the game board.","Resourceful
Once per round, when you spend a Resource, gain 1 Resource.
Once per round, you may spend 1 Resource to add 1 to the result of 1 die when resolving a test.","Superstitious
Increase the horror of Monsters you encounter by 1.
When you lose 1 or more Sanity during a Combat Encounter, gain 1 Madness Condition."
Father Mateo,"In Nomine Patris
PASS: When you give another investigator a Boon Condition, place 1 Eldritch token here; then pass at 3+ tokens.
FAIL: At end of Encounter Phase, Clues on the game board ≥ number of investigators + 6.","Charitable Father
When you gain a Boon Condition, gain 1 Focus.
When you give a Boon Condition to another investigator, you and that investigator each gain 1 Focus.","Undeniable
Treat the number of investigators as 1 higher when determining its value on Mystery, Adventure, and Mythos cards."
Preston Fairmont,"Wealth Without Work
PASS: After any investigator performs an Acquire Assets Action, that investigator has 8+ Assets.
FAIL: When you have only 1 Health or 1 Sanity.","Philanthropy
When you gain this card, improve Influence and Will.
Once per round, when you or another investigator gains a Resource, that investigator may gain 1 additional Resource.","Festering Greed
You cannot give any of your possession to another investigator as part of a Trade.
When another investigator performs an Acquire Assets Action, lose 1 Sanity."
Sefina Rousseau,"Calling
PASS: When you spend an Improvement token, you may place it here; pass when there are 3 Improvement tokens.
FAIL: At end of Encounter Phase, 5+ Gates on the game board.","The Painted World
When you gain this card, improve Lore and Will.
Action: Reveal the top Gate of the Gate stack. Discard that Gate or perform an additional action.","Lost Reality
Roll 1 fewer die when resolving an Observation test.
After resolving an Other World Encounter, move to a random space."
